air_temperature,date,humidity,meeting_key,pressure,rainfall,session_key,track_temperature,wind_direction,wind_speed
27.4,2025-12-07 12:06:07.170000+00:00,55.0,1276,1016.4,0,9839,34.6,67,3.0
27.4,2025-12-07 12:07:07.186000+00:00,54.0,1276,1016.4,0,9839,34.4,290,2.4
27.5,2025-12-07 12:08:07.193000+00:00,54.0,1276,1016.3,0,9839,34.4,286,1.4
27.5,2025-12-07 12:09:07.206000+00:00,54.0,1276,1016.5,0,9839,34.2,350,2.6
27.5,2025-12-07 12:10:07.226000+00:00,55.0,1276,1016.4,0,9839,34.0,327,3.2
27.5,2025-12-07 12:11:07.229000+00:00,54.0,1276,1016.4,0,9839,34.2,299,2.2
27.4,2025-12-07 12:12:07.244000+00:00,55.0,1276,1016.3,0,9839,34.4,166,1.6
27.4,2025-12-07 12:13:07.264000+00:00,54.0,1276,1016.5,0,9839,34.5,340,0.7
27.4,2025-12-07 12:14:07.269000+00:00,54.0,1276,1016.5,0,9839,34.5,320,1.1
27.5,2025-12-07 12:15:07.284000+00:00,54.0,1276,1016.5,0,9839,34.3,308,2.0
27.5,2025-12-07 12:16:07.283000+00:00,53.0,1276,1016.3,0,9839,34.1,302,1.4
27.4,2025-12-07 12:17:07.285000+00:00,54.0,1276,1016.4,0,9839,34.1,340,1.7
27.4,2025-12-07 12:18:07.286000+00:00,54.0,1276,1016.3,0,9839,34.3,318,2.2
27.4,2025-12-07 12:19:07.284000+00:00,54.0,1276,1016.4,0,9839,34.0,306,2.1
27.4,2025-12-07 12:20:07.285000+00:00,54.0,1276,1016.4,0,9839,33.8,296,2.5
27.4,2025-12-07 12:21:07.297000+00:00,54.0,1276,1016.4,0,9839,34.0,103,2.0
27.4,2025-12-07 12:22:07.298000+00:00,55.0,1276,1016.4,0,9839,34.0,90,1.3
27.4,2025-12-07 12:23:07.318000+00:00,54.0,1276,1016.4,0,9839,33.8,102,1.4
27.5,2025-12-07 12:24:07.326000+00:00,55.0,1276,1016.4,0,9839,33.8,304,0.9
27.4,2025-12-07 12:25:07.325000+00:00,54.0,1276,1016.3,0,9839,33.5,224,1.2
27.4,2025-12-07 12:26:07.329000+00:00,54.0,1276,1016.4,0,9839,33.1,345,1.2
27.4,2025-12-07 12:27:07.320000+00:00,54.0,1276,1016.4,0,9839,32.9,89,2.0
27.4,2025-12-07 12:28:07.328000+00:00,54.0,1276,1016.4,0,9839,32.8,333,0.9
27.4,2025-12-07 12:29:07.329000+00:00,55.0,1276,1016.4,0,9839,32.8,199,1.5
27.4,2025-12-07 12:30:07.331000+00:00,55.0,1276,1016.2,0,9839,32.7,348,0.3
27.4,2025-12-07 12:31:07.330000+00:00,55.0,1276,1016.4,0,9839,32.4,67,1.9
27.3,2025-12-07 12:32:07.329000+00:00,55.0,1276,1016.4,0,9839,32.0,342,1.0
27.3,2025-12-07 12:33:07.315000+00:00,55.0,1276,1016.5,0,9839,32.4,86,1.7
27.3,2025-12-07 12:34:07.329000+00:00,56.0,1276,1016.5,0,9839,32.4,295,2.5
27.3,2025-12-07 12:35:07.320000+00:00,56.0,1276,1016.5,0,9839,32.4,296,1.5
27.2,2025-12-07 12:36:07.330000+00:00,56.0,1276,1016.5,0,9839,32.3,170,0.8
27.2,2025-12-07 12:37:07.350000+00:00,56.0,1276,1016.5,0,9839,32.4,333,0.9
27.3,2025-12-07 12:38:07.350000+00:00,55.0,1276,1016.5,0,9839,32.4,347,1.1
27.3,2025-12-07 12:39:07.351000+00:00,55.0,1276,1016.5,0,9839,31.9,125,1.0
27.2,2025-12-07 12:40:07.368000+00:00,54.0,1276,1016.5,0,9839,31.8,0,1.1
27.2,2025-12-07 12:41:07.384000+00:00,55.0,1276,1016.5,0,9839,31.8,348,1.3
27.1,2025-12-07 12:42:07.382000+00:00,56.0,1276,1016.5,0,9839,31.8,299,2.5
27.1,2025-12-07 12:43:07.382000+00:00,56.0,1276,1016.5,0,9839,31.8,25,1.4
27.1,2025-12-07 12:44:07.391000+00:00,55.0,1276,1016.5,0,9839,32.0,85,0.8
27.1,2025-12-07 12:45:07.404000+00:00,55.0,1276,1016.5,0,9839,32.0,101,0.9
27.1,2025-12-07 12:46:07.404000+00:00,56.0,1276,1016.5,0,9839,32.0,0,1.1
27.1,2025-12-07 12:47:07.419000+00:00,56.0,1276,1016.5,0,9839,31.8,97,0.8
27.1,2025-12-07 12:48:07.423000+00:00,55.0,1276,1016.5,0,9839,31.7,101,1.1
27.2,2025-12-07 12:49:07.444000+00:00,55.0,1276,1016.5,0,9839,31.6,161,0.5
27.2,2025-12-07 12:50:07.459000+00:00,55.0,1276,1016.5,0,9839,31.4,107,0.6
27.2,2025-12-07 12:51:07.451000+00:00,56.0,1276,1016.5,0,9839,31.4,62,0.9
27.2,2025-12-07 12:52:07.446000+00:00,55.0,1276,1016.5,0,9839,31.0,114,1.0
27.1,2025-12-07 12:53:07.463000+00:00,56.0,1276,1016.4,0,9839,31.0,351,2.3
27.1,2025-12-07 12:54:07.477000+00:00,56.0,1276,1016.5,0,9839,30.3,336,2.0
27.1,2025-12-07 12:55:07.462000+00:00,57.0,1276,1016.4,0,9839,30.8,352,1.8
27.1,2025-12-07 12:56:07.465000+00:00,57.0,1276,1016.4,0,9839,30.3,286,2.4
27.0,2025-12-07 12:57:07.481000+00:00,58.0,1276,1016.5,0,9839,31.3,326,1.8
27.0,2025-12-07 12:58:07.489000+00:00,57.0,1276,1016.4,0,9839,31.8,0,1.5
27.0,2025-12-07 12:59:07.482000+00:00,58.0,1276,1016.4,0,9839,31.8,336,1.1
26.9,2025-12-07 13:00:07.482000+00:00,58.0,1276,1016.5,0,9839,31.6,0,0.9
26.9,2025-12-07 13:01:07.486000+00:00,58.0,1276,1016.5,0,9839,31.3,68,1.4
26.9,2025-12-07 13:02:07.484000+00:00,59.0,1276,1016.5,0,9839,31.2,292,1.4
26.8,2025-12-07 13:03:07.485000+00:00,59.0,1276,1016.5,0,9839,31.3,10,1.7
26.8,2025-12-07 13:04:07.483000+00:00,60.0,1276,1016.5,0,9839,31.4,328,2.9
26.8,2025-12-07 13:05:07.487000+00:00,60.0,1276,1016.5,0,9839,31.4,310,2.3
26.8,2025-12-07 13:06:07.486000+00:00,60.0,1276,1016.4,0,9839,31.5,299,2.3
26.8,2025-12-07 13:07:07.491000+00:00,60.0,1276,1016.5,0,9839,31.5,306,1.2
26.8,2025-12-07 13:08:07.489000+00:00,60.0,1276,1016.5,0,9839,31.4,308,2.0
26.8,2025-12-07 13:09:07.490000+00:00,61.0,1276,1016.5,0,9839,31.2,337,2.5
26.8,2025-12-07 13:10:07.486000+00:00,61.0,1276,1016.5,0,9839,31.3,284,2.9
26.8,2025-12-07 13:11:07.491000+00:00,61.0,1276,1016.5,0,9839,31.4,310,2.6
26.7,2025-12-07 13:12:07.492000+00:00,61.0,1276,1016.5,0,9839,31.4,284,3.1
26.7,2025-12-07 13:13:07.494000+00:00,61.0,1276,1016.6,0,9839,31.5,304,2.2
26.7,2025-12-07 13:14:07.510000+00:00,61.0,1276,1016.6,0,9839,31.5,288,1.7
26.7,2025-12-07 13:15:07.491000+00:00,61.0,1276,1016.5,0,9839,31.3,310,2.6
26.7,2025-12-07 13:16:07.500000+00:00,61.0,1276,1016.6,0,9839,31.4,308,1.8
26.7,2025-12-07 13:17:07.494000+00:00,61.0,1276,1016.5,0,9839,31.4,278,1.8
26.7,2025-12-07 13:18:07.499000+00:00,61.0,1276,1016.5,0,9839,31.3,298,2.1
26.7,2025-12-07 13:19:07.497000+00:00,61.0,1276,1016.5,0,9839,31.3,275,2.2
26.7,2025-12-07 13:20:07.503000+00:00,62.0,1276,1016.7,0,9839,31.3,290,0.8
26.7,2025-12-07 13:21:07.501000+00:00,62.0,1276,1016.6,0,9839,31.0,356,1.4
26.7,2025-12-07 13:22:07.501000+00:00,62.0,1276,1016.6,0,9839,31.2,329,2.4
26.7,2025-12-07 13:23:07.508000+00:00,62.0,1276,1016.6,0,9839,31.2,291,1.9
26.6,2025-12-07 13:24:07.494000+00:00,62.0,1276,1016.6,0,9839,31.1,102,1.8
26.6,2025-12-07 13:25:07.502000+00:00,62.0,1276,1016.5,0,9839,31.1,0,1.2
26.6,2025-12-07 13:26:07.504000+00:00,62.0,1276,1016.6,0,9839,30.8,294,0.8
26.5,2025-12-07 13:27:07.524000+00:00,62.0,1276,1016.6,0,9839,30.9,11,2.4
26.5,2025-12-07 13:28:07.526000+00:00,62.0,1276,1016.7,0,9839,30.9,327,2.0
26.5,2025-12-07 13:29:07.539000+00:00,63.0,1276,1016.6,0,9839,30.6,295,2.5
26.5,2025-12-07 13:30:07.556000+00:00,62.0,1276,1016.6,0,9839,30.6,299,2.1
26.5,2025-12-07 13:31:07.574000+00:00,63.0,1276,1016.7,0,9839,30.7,307,1.8
26.5,2025-12-07 13:32:07.568000+00:00,63.0,1276,1016.7,0,9839,30.5,282,2.1
26.4,2025-12-07 13:33:07.592000+00:00,63.0,1276,1016.7,0,9839,30.5,332,1.2
26.4,2025-12-07 13:34:07.590000+00:00,63.0,1276,1016.7,0,9839,30.5,329,0.7
26.4,2025-12-07 13:35:07.611000+00:00,63.0,1276,1016.8,0,9839,30.3,273,2.0
26.4,2025-12-07 13:36:07.605000+00:00,63.0,1276,1016.7,0,9839,30.4,0,1.8
26.4,2025-12-07 13:37:07.627000+00:00,64.0,1276,1016.7,0,9839,30.6,316,2.6
26.4,2025-12-07 13:38:07.622000+00:00,64.0,1276,1016.8,0,9839,30.4,334,2.4
26.4,2025-12-07 13:39:07.620000+00:00,64.0,1276,1016.8,0,9839,30.2,320,2.0
26.4,2025-12-07 13:40:07.628000+00:00,64.0,1276,1016.8,0,9839,30.3,302,1.8
26.3,2025-12-07 13:41:07.634000+00:00,64.0,1276,1016.8,0,9839,30.2,7,1.6
26.3,2025-12-07 13:42:07.650000+00:00,64.0,1276,1016.8,0,9839,30.2,48,1.1
26.3,2025-12-07 13:43:07.639000+00:00,64.0,1276,1016.9,0,9839,30.2,291,1.2
26.3,2025-12-07 13:44:07.648000+00:00,64.0,1276,1016.9,0,9839,30.1,18,1.2
26.3,2025-12-07 13:45:07.633000+00:00,64.0,1276,1016.9,0,9839,30.3,317,2.4
26.3,2025-12-07 13:46:07.649000+00:00,64.0,1276,1016.9,0,9839,30.3,298,1.9
26.3,2025-12-07 13:47:07.649000+00:00,64.0,1276,1016.9,0,9839,29.9,290,1.9
26.3,2025-12-07 13:48:07.652000+00:00,64.0,1276,1017.0,0,9839,30.1,303,1.9
26.3,2025-12-07 13:49:07.651000+00:00,64.0,1276,1016.9,0,9839,30.1,310,1.7
26.3,2025-12-07 13:50:07.651000+00:00,64.0,1276,1017.0,0,9839,29.8,298,2.5
26.3,2025-12-07 13:51:07.651000+00:00,64.0,1276,1016.9,0,9839,29.9,286,2.1
26.2,2025-12-07 13:52:07.650000+00:00,64.0,1276,1016.9,0,9839,30.0,334,1.0
26.2,2025-12-07 13:53:07.656000+00:00,63.0,1276,1017.0,0,9839,30.0,307,2.4
26.2,2025-12-07 13:54:07.654000+00:00,64.0,1276,1016.9,0,9839,30.0,323,1.9
26.2,2025-12-07 13:55:07.651000+00:00,64.0,1276,1017.0,0,9839,30.1,291,2.4
26.2,2025-12-07 13:56:07.651000+00:00,64.0,1276,1017.0,0,9839,29.8,303,2.4
26.2,2025-12-07 13:57:07.652000+00:00,64.0,1276,1017.1,0,9839,29.8,326,1.8
26.2,2025-12-07 13:58:07.680000+00:00,64.0,1276,1017.0,0,9839,29.7,229,1.7
26.2,2025-12-07 13:59:07.677000+00:00,64.0,1276,1017.1,0,9839,29.7,303,0.8
26.2,2025-12-07 14:00:07.680000+00:00,64.0,1276,1017.0,0,9839,29.7,358,1.2
26.2,2025-12-07 14:01:07.694000+00:00,64.0,1276,1017.0,0,9839,29.8,302,1.6
26.2,2025-12-07 14:02:07.712000+00:00,64.0,1276,1017.0,0,9839,29.6,334,2.3
26.2,2025-12-07 14:03:07.713000+00:00,64.0,1276,1017.0,0,9839,29.6,325,1.2
26.1,2025-12-07 14:04:07.727000+00:00,64.0,1276,1017.0,0,9839,29.6,322,1.0
26.1,2025-12-07 14:05:07.732000+00:00,64.0,1276,1017.0,0,9839,29.5,78,1.1
26.1,2025-12-07 14:06:07.754000+00:00,64.0,1276,1017.0,0,9839,29.5,13,1.2
26.1,2025-12-07 14:07:07.754000+00:00,64.0,1276,1017.0,0,9839,29.5,286,1.6
26.1,2025-12-07 14:08:07.754000+00:00,64.0,1276,1017.0,0,9839,29.4,0,0.8
26.1,2025-12-07 14:09:07.770000+00:00,64.0,1276,1017.0,0,9839,29.6,337,1.1
26.1,2025-12-07 14:10:07.775000+00:00,64.0,1276,1017.1,0,9839,29.7,112,1.1
26.1,2025-12-07 14:11:07.800000+00:00,64.0,1276,1017.1,0,9839,29.7,0,0.8
26.1,2025-12-07 14:12:07.805000+00:00,64.0,1276,1017.1,0,9839,29.7,295,1.4
26.2,2025-12-07 14:13:07.803000+00:00,64.0,1276,1017.1,0,9839,29.5,290,1.2
26.1,2025-12-07 14:14:07.788000+00:00,64.0,1276,1017.1,0,9839,29.5,104,1.2
26.1,2025-12-07 14:15:07.796000+00:00,64.0,1276,1017.1,0,9839,29.5,101,0.8
26.1,2025-12-07 14:16:07.804000+00:00,65.0,1276,1017.1,0,9839,29.5,261,1.2
26.1,2025-12-07 14:17:07.808000+00:00,65.0,1276,1017.1,0,9839,29.4,85,0.9
26.1,2025-12-07 14:18:07.802000+00:00,65.0,1276,1017.2,0,9839,29.4,339,0.9
26.1,2025-12-07 14:19:07.808000+00:00,65.0,1276,1017.1,0,9839,29.3,140,1.2
26.1,2025-12-07 14:20:07.808000+00:00,65.0,1276,1017.2,0,9839,29.3,238,1.3
26.1,2025-12-07 14:21:07.811000+00:00,65.0,1276,1017.2,0,9839,29.3,134,1.0
26.1,2025-12-07 14:22:07.809000+00:00,65.0,1276,1017.2,0,9839,29.5,115,1.1
26.1,2025-12-07 14:23:08.033000+00:00,65.0,1276,1017.2,0,9839,29.4,125,1.3
26.1,2025-12-07 14:24:07.840000+00:00,65.0,1276,1017.2,0,9839,29.6,356,1.1
26.1,2025-12-07 14:25:07.846000+00:00,66.0,1276,1017.2,0,9839,29.4,287,1.3
26.1,2025-12-07 14:26:07.863000+00:00,66.0,1276,1017.2,0,9839,29.3,107,1.3
26.1,2025-12-07 14:27:07.855000+00:00,66.0,1276,1017.1,0,9839,29.3,166,0.7
26.0,2025-12-07 14:28:07.863000+00:00,66.0,1276,1017.3,0,9839,29.3,298,0.9
26.0,2025-12-07 14:29:07.893000+00:00,65.0,1276,1017.2,0,9839,29.0,93,1.4
26.0,2025-12-07 14:30:07.906000+00:00,66.0,1276,1017.3,0,9839,29.0,0,0.8
26.0,2025-12-07 14:31:07.910000+00:00,66.0,1276,1017.3,0,9839,28.9,104,0.8
26.0,2025-12-07 14:32:07.911000+00:00,66.0,1276,1017.3,0,9839,28.8,94,1.5
26.0,2025-12-07 14:33:07.911000+00:00,66.0,1276,1017.3,0,9839,29.0,107,0.7
26.0,2025-12-07 14:34:07.919000+00:00,66.0,1276,1017.3,0,9839,28.9,74,1.6
26.0,2025-12-07 14:35:07.945000+00:00,66.0,1276,1017.4,0,9839,28.7,88,1.7
26.0,2025-12-07 14:36:07.943000+00:00,66.0,1276,1017.3,0,9839,28.9,128,1.4
25.9,2025-12-07 14:37:07.949000+00:00,66.0,1276,1017.4,0,9839,28.9,101,0.6
25.9,2025-12-07 14:38:07.948000+00:00,66.0,1276,1017.4,0,9839,29.0,104,1.2
25.9,2025-12-07 14:39:07.948000+00:00,66.0,1276,1017.3,0,9839,28.9,84,1.5
